gamma,weight_dispersion,links,flows,capacity_dispersion,capacities,routing_matrix,weights,time_mean,time_std_dev,result_mean,time_mean_gurobi,time_std_dev_gurobi,result_mean_gurobi
0.3,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]","[0.35755930676397646, 0.3410687761517528, 0.30137191708427075]",0.05968067368182043,0.028244617802797443,5.159377780668843,5.907297134399414,4.448171775490453,5.179194215467855
0.5,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]","[0.35755930676397646, 0.3410687761517528, 0.30137191708427075]",0.06894432590343058,0.02291430384965985,4.974836252070106,2.773920694986979,0.3885788639752345,4.984700313237901
0.7,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]","[0.35755930676397646, 0.3410687761517528, 0.30137191708427075]",0.05208366201259196,0.02331727442935529,5.739547728784918,1.6206900278727214,0.10324937637081505,5.744879846066368
1.0,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]","[0.35755930676397646, 0.3410687761517528, 0.30137191708427075]",0.04859733356473347,0.01783985323704416,1.7953061212563823,1.1182626088460286,0.10863317840632722,1.7976816112044192
2.0,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]","[0.35755930676397646, 0.3410687761517528, 0.30137191708427075]",0.06491632666438818,0.016191939162422987,-0.17423375873940666,2.418677012125651,0.5394603959734582,-0.1739822506194813
0.5,0.0,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",[0.33333333 0.33333333 0.33333333],0.04230533765318493,0.012868398446508894,4.9605223989938425,1.7709732055664062,0.26506024020899377,4.9605228110451876
0.5,0.1,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",[0.35755931 0.34106878 0.30137192],0.045221997424960136,0.011256388155556534,4.974836252070106,2.110640207926432,1.2540777675338948,4.984700313237901
0.5,1.0,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",[0.6776846 0.3143141 0.0080013],0.038513661517451205,0.009009985866164565,6.118175462126462,1.1760393778483074,0.40788515982778756,6.118460982189041
0.5,3.0,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",[0.96434328 0.01782836 0.01782836],0.03918032355916997,0.00988135998244341,6.067751057167715,1.563707987467448,0.2544114300451089,6.068732521296529
0.5,5.0,3,3,1.0,"[9.43679300234845, 9.543413094886047, 11.213689606004825]","[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",[0.92151944 0.03924028 0.03924028],0.037500004206473626,0.00915275939554732,5.935109750075352,1.3219515482584636,0.24227719365644482,5.939839692707066
